Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0913295658742293,-0.0740631869532505,0.0426922769396564,0,0,0,3.2182938629627,0.00580151653868721,1.93643410747545E-06,6.7604037813263E-07,0.00721990996747041,3.86677335645444E-07,0.0125117312153308,0,0,0,0,0,0,package://model20/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/base_link.STL,,1. E-baseline-1,Origin_global <1. E-baseline-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.00786753377996494,-0.0155948984609842,0.0232556468762561,0,0,0,0.0651133753252895,1.48802654908116E-05,1.64845451975805E-08,-1.56420031463122E-07,1.75245555055195E-05,-2.96403540336103E-09,8.01010024686586E-06,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,,3.Suspension_L-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint2,left_front_wheel_suspension_joint,prismatic,-0.018499,0.0039869,-0.030998,1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
left_front_wheel,0.0158399891826273,-4.59981459866032E-09,7.99690621500204E-08,0,0,0,0.22822169800504,0.000789211576324214,-1.09995507949659E-10,1.91230261060021E-09,0.000410429434291453,-5.55677330321344E-16,0.000410429434301075,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,,Wheel_3dprintABS-1,Origin_left_front_wheel_joint2,Axis_left_front_wheel_joint2,left_front_wheel_joint,continuous,-0.01976,-0.021787,0.0099999,3.0841,0,3.1416,left_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,-0.00415434378457435,-0.0156302499401892,0.023255686661272,0,0,0,0.0651133753251555,1.48802639086072E-05,1.64845302056301E-08,1.56454773175217E-07,1.75245555054544E-05,2.96411876510217E-09,8.01010182899685E-06,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,,2.Suspension_R-1,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint2,right_front_wheel_suspension_joint,prismatic,-0.018499,-0.16601,-0.030998,1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
right_front_wheel,0.015839199018542,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.000789211576333899,-3.38619760983269E-20,4.93127202072331E-21,0.000410429434291421,-2.98155597433514E-19,0.00041042943429142,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,,Wheel_3dprintABS-3,Origin_right_front_wheel_joint2,Axis_right_front_wheel_joint2,right_front_wheel_joint,continuous,0.0077391,-0.021785,0.01,0.1626,0,0,right_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
left_rear_wheel_suspension,-0.00786753377996494,-0.0155948984609842,0.0232556468762561,0,0,0,0.0651133753252895,1.48802654908115E-05,1.64845451975805E-08,-1.56420031463129E-07,1.75245555055195E-05,-2.96403540336444E-09,8.01010024686586E-06,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,,3.Suspension_L-2,Origin_left_rear_wheel_suspension_joint2,Axis_left_rear_wheel_suspension_joint2,left_rear_wheel_suspension_joint,prismatic,-0.2785,0.0039882,-0.030998,1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
left_rear_wheel,0.0158401765053968,7.40328947035351E-08,3.05858046945051E-08,0,0,0,0.22822169800504,0.000789211576324214,1.77032992327352E-09,7.31390626651259E-10,0.000410429434299695,3.41792024370624E-15,0.000410429434292833,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel.STL,,Wheel_3dprintABS-2,Origin_left_rear_wheel_joint2,Axis_left_rear_wheel_joint2,left_rear_wheel_joint,continuous,-0.01976,-0.021787,0.0099999,-1.9626,0,3.1416,left_rear_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
right_rear_wheel_suspension,-0.00415434378457436,-0.0156302499401892,0.0232556866612721,0,0,0,0.0651133753251554,1.48802639086072E-05,1.64845302056292E-08,1.56454773175207E-07,1.75245555054544E-05,2.96411876510507E-09,8.01010182899684E-06,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel_suspension.STL,,2.Suspension_R-2,Origin_right_rear_wheel_suspension_joint2,Axis_right_rear_wheel_suspension_joint2,right_rear_wheel_suspension_joint,prismatic,-0.2785,-0.16601,-0.030998,1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
right_rear_wheel,0.015839,1.1102E-16,0,0,0,0,0.22822,0.00078921,5.9844E-22,6.2069E-21,0.00041043,-3.112E-19,0.00041043,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_rear_wheel.STL,,Wheel_3dprintABS-4,Origin_right_rear_wheel_joint2,Axis_right_rear_wheel_joint2,right_rear_wheel_joint,continuous,0.0077391,-0.021785,0.01,0,0,0,right_rear_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
camera,-0.011354,0.0012982,1.1063E-05,0,0,0,0.043612,2.3571E-05,2.1758E-08,1.0181E-09,2.2106E-05,8.8579E-10,4.2948E-06,0,0,0,0,0,0,package://model20/meshes/camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://model20/meshes/camera.STL,,Webcam_C920 - 복사본-2,Origin_camera,,camera,fixed,0.0233,-0.074994,0.08999,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
